Timestamp,What type of content is this?,What is the title?,"Who is the creator (artist, author, or host)?","If an album, what is the genre?"
2/16/2026 16:06:42,Podcast,Nobody Asked Us,Des and Kara,
2/16/2026 16:07:08,Podcast,Redhanded,Hannah and Suruthi,
2/16/2026 16:07:35,Album,Kick,INXS,rock
2/16/2026 16:07:54,Album,Am i the drama?,Cardi B,hip hop
2/16/2026 16:08:32,Album,returning to myself,brandi carlisle,rock
2/25/2026 7:55:46,Album,UNDERTALE Soundtrack,Toby Fox,Video Game Music
2/25/2026 7:57:23,Album,Magical Mystery Tour,The Beatles,rock/pop
2/25/2026 7:57:35,Album,Ride the Lightning,Metallica,Thrash Metal
2/25/2026 7:57:49,Album,INSIDE,Bo Burnham,Pop
2/25/2026 7:59:17,Album,Soon It Will Be Cold Enough,Emancipator,TripHop
2/25/2026 8:00:40,Album,Frames Per Second,Lotus,Funk Fusion
2/25/2026 8:00:40,Album,New in Town,John Mulaney,Comedy
2/25/2026 8:11:07,Podcast,Dungeons and Daddies ,Anthony Birch ,
2/25/2026 7:57:49,Album,INSIDE,Bo Burnham,comedy
2/16/2026 16:07:35,,fake content,not really anything,